id,lot_id,number,name,category
RM6240.1a.1,RM6240.1a,1,Administrative and Public Law,
RM6240.1a.2,RM6240.1a,2,Non-Complex Finance and Investment,
RM6240.1a.3,RM6240.1a,3,Contracts,
RM6240.1a.4,RM6240.1a,4,Competition Law,
RM6240.1a.5,RM6240.1a,5,Corporate Law,
RM6240.1a.6,RM6240.1a,6,Data Protection and Information Law,
RM6240.1a.7,RM6240.1a,7,Employment,
RM6240.1a.8,RM6240.1a,8,Information Technology,
RM6240.1a.9,RM6240.1a,9,Infrastructure,
RM6240.1a.10,RM6240.1a,10,Intellectual Property,
RM6240.1a.11,RM6240.1a,11,Litigation and Dispute Resolution,
RM6240.1a.12,RM6240.1a,12,Partnerships,
RM6240.1a.13,RM6240.1a,13,Pensions,
RM6240.1a.14,RM6240.1a,14,Public Procurement,
RM6240.1a.15,RM6240.1a,15,"Property, Real Estate and Construction",
RM6240.1a.16,RM6240.1a,16,"Energy, Natural Resources and Climate Change",
RM6240.1a.17,RM6240.1a,17,Retained EU Law and EU Law,
RM6240.1a.18,RM6240.1a,18,Planning,
RM6240.1a.19,RM6240.1a,19,Projects,
RM6240.1a.20,RM6240.1a,20,Restructuring and Insolvency,
RM6240.1a.21,RM6240.1a,21,Education Law,
RM6240.1a.22,RM6240.1a,22,Children and Vulnerable Adults,
RM6240.1a.23,RM6240.1a,23,"Food, Rural and Environmental Affairs",
RM6240.1a.24,RM6240.1a,24,Franchise Law,
RM6240.1a.25,RM6240.1a,25,"Health, Healthcare and Social Care",
RM6240.1a.26,RM6240.1a,26,Life Sciences,
RM6240.1a.27,RM6240.1a,27,Telecommunications,
RM6240.1a.28,RM6240.1a,28,"International Trade, Investment and Regulation",
RM6240.1a.29,RM6240.1a,29,Public International Law,
RM6240.1a.30,RM6240.1a,30,Charities Law,
RM6240.1a.31,RM6240.1a,31,Health and Safety,
RM6240.1a.32,RM6240.1a,32,Licensing Law,
RM6240.1a.33,RM6240.1a,33,Transport Law (excluding Rail),
RM6240.1a.34,RM6240.1a,34,Tax,
RM6240.1a.35,RM6240.1a,35,Outsourcing / Insourcing,
RM6240.1a.36,RM6240.1a,36,Islamic Finance / Sukuk,
RM6240.1a.37,RM6240.1a,37,Media Law,
RM6240.1a.38,RM6240.1a,38,Immigration,
RM6240.1a.39,RM6240.1a,39,Public Inquests and Inquiries,
RM6240.1a.40,RM6240.1a,40,Mental Health Law,
